Access,AVG. Response Time
0,7
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,6
14,5
15,5
16,6
17,6
18,6
19,5
20,5
21,6
22,5
23,5
24,5
25,5
26,6
27,5
28,5
29,5
30,6
31,5
32,5
33,6
34,5
35,5
36,6
37,6
38,5
39,5
40,6
41,6
42,5
43,6
44,6
45,6
46,6
47,7
48,6
49,8
50,7
51,6
52,6
53,5
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,5
65,5
66,5
67,6
68,6
69,6
70,5
71,5
72,5
73,6
74,6
75,6
76,6
77,5
78,6
79,5
80,5
81,6
82,5
83,5
84,6
85,5
86,5
87,6
88,6
89,6
90,6
91,5
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
