Access,AVG. Response Time
0,128
1,56
2,26
3,19
4,16
5,13
6,11
7,10
8,9
9,9
10,10
11,9
12,9
13,9
14,8
15,10
16,11
17,11
18,11
19,11
20,11
21,11
22,9
23,8
24,8
25,8
26,8
27,9
28,11
29,12
30,10
31,10
32,9
33,8
34,9
35,8
36,8
37,8
38,8
39,9
40,11
41,10
42,11
43,12
44,17
45,46
46,84
47,73
48,76
49,86
50,90
51,91
52,109
53,113
54,107
55,112
56,107
57,114
58,147
59,118
60,28
61,47
62,26
63,23
64,19
65,14
66,12
67,11
68,10
69,11
70,11
71,12
72,13
73,12
74,12
75,13
76,11
77,10
78,9
79,11
80,13
81,10
82,10
83,11
84,12
85,14
86,15
87,17
88,18
89,14
90,14
91,13
92,12
93,12
94,12
95,10
96,9
97,9
98,10
99,10
